url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,60,35
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,49,14
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,46,10
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,32,8
/cicsdev/cics-banking-sample-application-cbsa/tree/main,20,14
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/Z-OS-Connect-Customer-Services-Interface/src/main/java/com/ibm/cics/cip/bank/springboot/customerservices,16,3
/cicsdev/cics-banking-sample-application-cbsa/blob/main/src/base/cobol_src/BNK1CAC.cbl,16,2
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/aarfiles/creacc.aar,16,1
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/doc/CBSA_base_cobol_installation_instructions.md,15,8
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/asm_src,15,6
