url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,49,9
/cicsdev/cics-banking-sample-application-cbsa,42,24
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,39,9
/cicsdev/cics-banking-sample-application-cbsa/blob/ee7c110688c39cd2a1baa335af97c0294a805fda/src/base/cobol_src/CRECUST.cbl,26,4
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,21,6
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/aarfiles/creacc.aar,16,1
/cicsdev/cics-banking-sample-application-cbsa/blob/ee7c110688c39cd2a1baa335af97c0294a805fda/etc/install/base/installjcl/BANK.csd,12,3
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/Z-OS-Connect-Payment-Interface,10,2
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/zosconnect_artefacts/apis/updacc/api/update/PUT,9,1
/cicsdev/cics-banking-sample-application-cbsa/tree/main,8,7
