time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-11 00:00:00+00:00,,,1,1
2024-05-18 00:00:00+00:00,,,1,1
2024-05-20 00:00:00+00:00,,,4,3
2024-05-22 00:00:00+00:00,,,1,1
2024-05-23 00:00:00+00:00,,,37,3
