url_path,views_total,views_unique
/cicsdev/cics-java-jcics-samples/blob/main/blog/blog.md,74,21
/cicsdev/cics-java-jcics-samples/tree/main/projects,69,13
/cicsdev/cics-java-jcics-samples,56,31
/cicsdev/cics-java-jcics-samples/tree/main/src,52,15
/cicsdev/cics-java-jcics-samples/tree/main/projects/com.ibm.cicsdev.link,44,6
/cicsdev/cics-java-jcics-samples/blob/main/src/Cobol/EC01.cbl,37,16
/cicsdev/cics-java-jcics-samples/tree/main/src/Cobol,33,13
/cicsdev/cics-java-jcics-samples/tree/main,29,11
/cicsdev/cics-java-jcics-samples/tree/main/projects/com.ibm.cicsdev.link.cicsbundle,27,7
/cicsdev/cics-java-jcics-samples/tree/main/projects/com.ibm.cicsdev.link/src/com/ibm/cicsdev/link,24,3
