url_path,views_total,views_unique
/cicsdev/cics-java-liberty-link,35,17
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-bundle,20,4
/cicsdev/cics-java-liberty-link/tree/main/projects,14,4
/cicsdev/cics-java-liberty-link/pull/4,12,6
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app,12,5
/cicsdev/cics-java-liberty-link/pull/5,12,4
/cicsdev/cics-java-liberty-link/blob/main/README.md,10,5
/cicsdev/cics-java-liberty-link/blob/main/pom.xml,10,2
/cicsdev/cics-java-liberty-link/pulls,10,1
/cicsdev/cics-java-liberty-link/tree/main/projects/com.ibm.cics.server.examples.wlp.link.bundle,9,2
