time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-02 00:00:00+00:00,,,8.0,1.0
2024-01-03 00:00:00+00:00,,,95.0,9.0
2024-01-04 00:00:00+00:00,,,3.0,3.0
2024-01-05 00:00:00+00:00,2.0,2.0,34.0,6.0
2024-01-07 00:00:00+00:00,1.0,1.0,,
2024-01-08 00:00:00+00:00,,,59.0,9.0
2024-01-09 00:00:00+00:00,5.0,4.0,416.0,25.0
2024-01-10 00:00:00+00:00,,,64.0,10.0
2024-01-11 00:00:00+00:00,1.0,1.0,70.0,6.0
2024-01-12 00:00:00+00:00,1.0,1.0,54.0,5.0
2024-01-13 00:00:00+00:00,1.0,1.0,13.0,1.0
