url_path,views_total,views_unique
/cicsdev/cics-java-recgen/tree/main/projects/com.ibm.cicsdev.jzostest,27,4
/cicsdev/cics-java-recgen/tree/main/src/Cobol,20,5
/cicsdev/cics-java-recgen/tree/main/projects,20,4
/cicsdev/cics-java-recgen/tree/main/projects/com.ibm.cicsdev.jzostest.cicsbundle,20,3
/cicsdev/cics-java-recgen/blob/main/projects/com.ibm.cicsdev.jzostest/src/com/ibm/cicsdev/jzostest/JZOSprog.java,16,4
/cicsdev/cics-java-recgen/tree/main/projects/com.ibm.cicsdev.jzostest/lib,15,2
/cicsdev/cics-java-recgen/blob/main/src/Cobol/EDUPGM.cbl,12,5
/cicsdev/cics-java-recgen,10,9
/cicsdev/cics-java-recgen/blob/main/src/Cobol/EDUCPY.cbl,10,4
/cicsdev/cics-java-recgen/tree/main/projects/com.ibm.cicsdev.jzostest.cicsbundle/META-INF,9,2
