url_path,views_total,views_unique
/cicsdev/cicstg-jca-liberty-sample/blob/main/com/ibm/ctg/samples/liberty/JCAServlet.java,41,14
/cicsdev/cicstg-jca-liberty-sample/blob/main/server.xml,18,6
/cicsdev/cicstg-jca-liberty-sample/tree/main/com/ibm/ctg/samples/liberty,14,3
/cicsdev/cicstg-jca-liberty-sample,13,7
/cicsdev/cicstg-jca-liberty-sample/tree/main/WEB-INF,10,4
/cicsdev/cicstg-jca-liberty-sample/blob/main/WEB-INF/web.xml,6,3
/cicsdev/cicstg-jca-liberty-sample/blob/main/libertyJCA.war,6,2
/cicsdev/cicstg-jca-liberty-sample/tree/main/com,5,2
/cicsdev/cicstg-jca-liberty-sample/tree/main,2,2
/cicsdev/cicstg-jca-liberty-sample/blob/main/LICENSE,2,1
