time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-07 00:00:00+00:00,0,0,2,1
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-11 00:00:00+00:00,0,0,2,1
2023-12-14 00:00:00+00:00,0,0,23,3
2023-12-20 00:00:00+00:00,0,0,4,1
2023-12-27 00:00:00+00:00,0,0,2,1
