time_iso8601,stars_cumulative
2023-09-02 00:00:00+00:00,1
2023-09-19 00:00:00+00:00,2
2023-10-09 00:00:00+00:00,3
2023-10-12 00:00:00+00:00,4
2023-10-19 00:00:00+00:00,5
2024-02-29 00:00:00+00:00,6
2024-03-27 00:00:00+00:00,7
2024-04-22 00:00:00+00:00,8
